Country_Name,Country_Code,Series_Name,Series_Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7773265083934,59.8781528089471,58.4928738323479,78.7827580362892,82.2084438594401,101.290471274167,137.899361896954,161.322000088481,129.506653844251,129.798541408375,157.187422389233,160.372835554154,136.117014381199,144.110318929266,174.94203831954,187.975604013726,199.026172729051,226.005343759305,249.287386261794,277.900741665078,274.880858701521,266.493041808705,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,117.409690794955,187.845094955388,198.728543552291,219.141352785465,250.29412990949,272.563077018147,369.835795969823,373.361116300036,445.893297923744,553.300289383064,603.53702306241,669.009050888028,638.612543202424,629.345250369145,569.5779229167,561.77874627093,585.85006378237
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.292,32.742,33.185,33.624,34.06,34.495,34.928,35.361,35.796,36.234,36.678,37.128,37.587,38.056,38.54,39.039,39.556,40.092,40.65,41.234,41.853,42.513,43.217,43.963,44.747,45.566,46.417,47.288,48.164,49.028,49.856,50.627,51.331,51.968,52.539,53.055,53.533,53.997,54.468,54.959,55.482,56.044,56.637,57.25,57.875,58.5,59.11,59.694,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,662.520052309521,662.914792567596,719.157295703914,699.384292086697,676.566732520011,723.409610237851,639.463899289892,348.711317786982,218.492165902633,380.527371084275,619.065163447139,760.559375774093,1046.35851070754,749.58464901464,865.302161769888,1098.42546340677,1175.78898079471,1326.97033929809,1453.64277657175,1890.68155733514,2416.58823505194,2709.14293061386,3005.01290331851,3603.01368536638,4370.53964653148,4114.13654490945,4094.35883191918,4437.17806843608,4247.61430826246,4413.08169670601,4578.66672753259,3952.83078116586,4131.87234065272,4537.8624924478
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.279,63.298,64.187,64.911,65.461,65.848,66.108,66.302,66.485,66.687,66.933,67.235,67.58,67.951,68.341,68.734,69.108,69.447,69.741,69.99,70.207,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.588,73.955,74.286,74.575,74.82,75.028,75.217,75.418,75.656,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,244.824806483632,213.485905063471,171.209809463866,225.530596175825,236.610189565084,248.37814358709,234.188908344417,252.418252162025,280.268288209403,300.981825658516,334.259527686164,339.384049071749,439.731123857229,551.434441695138,813.049902670207,931.105517329,1031.30313516839,1185.51063534845,1447.6180205344,1771.965548606,2189.77667951046,2223.69734407236,2197.11050017923,2298.88380549028,2452.66463175613,2567.49590456016,2740.65472375228,2790.47391888994,2402.82562714757,2202.55809013399,2394.42038015197,1721.57869577876,1766.05467841426,1797.52356051118,1499.97150457383,1444.90803609489,1596.02986731002,1612.00930288912,1588.48144916691,1581.00456398017,1757.01779715994,1732.85797888376,1774.0336730152,2094.33550572581,2598.90802346666,3100.12237758677,3464.61007870202,3935.18334285931,4905.25486576261,3868.83123040908,4463.39467488951,5432.41331978116,5565.13452104848,5471.12338878709,5466.42577841535,4160.22006671831,3916.88157088626,4123.38993650709
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.138,46.596,47.054,47.507,47.956,48.392,48.809,49.208,49.595,49.98,50.369,50.77,51.198,51.673,52.215,52.863,53.658,54.606,55.696,56.906,58.196,59.521,60.823,62.047,63.156,64.113,64.896,65.525,66.025,66.416,66.725,66.983,67.226,67.482,67.774,68.115,68.504,68.926,69.367,69.822,70.292,70.778,71.276,71.78,72.281,72.767,73.225,73.648,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8751.76652874972,8914.52543261668,8639.30885529158,8508.40691498359,8456.94799658994,8980.53641434813,9871.99719445906,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11589.8530023324,11598.7517362051,11865.9632317194,11834.7452292307,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,..,..,..,..,..,..,..,..,..,..,3238.55684977329,3498.1736515232,4217.17358114253,5342.16856044208,6319.73903384837,7169.10100559556,7152.37513361051,7751.37021575891,9129.7061851808,11820.8493928325,12377.4116456877,10372.232834745,9610.26630831575,8022.65478128161,7728.90669456943,7774.39382903478,10361.8159820255,12616.167565929,14304.3569645785,15166.437850754,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.8090102012,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21936.5301014708,22228.8464928922,24741.4935704562,32776.4422698769,38503.4796144857,41282.0201219785,43748.7721588999,48582.8084550866,47785.6590856793,43339.3798746543,39736.3540626699,41098.7669417228,38391.0808669785,40619.7112977795,42294.9947269717,36038.2676044596,37231.8156714154,39146.5488360905
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
