Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19469022207.6852
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,11883682170.8236
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,159049096745.249
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,658000000
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2877311946.90265
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,95337203468.1156
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1460144703.7037
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,554860945013.62
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,10546135160.031
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,..
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1208039015868.39
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,390799991147.468
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,37867518957.1975
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11838800000
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,32152686170.2128
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,221415162445.648
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4529050000
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,47722657820.6675
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,467545548764.571
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1820158550
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,8573159696.61128
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,..
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2212638830.39439
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,33941126193.9219
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,16911088173.7458
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,15648700274.4804
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1793989048409.29
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,..
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,11400653959.8368
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,53240893665.1584
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,11448781714.3131
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,3007029030.4001
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1638927335.6211
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,20016747754.0192
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,32217537942.6644
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1535767736946.18
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,..
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,1755468136.86556
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,9412034268.6661
Channel Islands,CHI,GDP (current US$),NY.GDP.MKTP.CD,..
Chile,CHL,GDP (current US$),NY.GDP.MKTP.CD,250036180921.053
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,11190992550229.5
