Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,67375381130.0362
Albania,ALB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33245716716.0916
Algeria,DZA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,609630693492.105
American Samoa,ASM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Andorra,AND,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Angola,AGO,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,185587234023.875
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,2287971867.07668
Argentina,ARG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,878813870536.625
Armenia,ARM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25834207818.2339
Aruba,ABW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1117186495512.35
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,441389420554.209
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,168386921731.694
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,11650809929.6662
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,67078185833.9357
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,583326821527.527
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,5145528893.98216
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,171873726698.996
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,525968962826.819
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3133935490.26467
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,23563236239.9857
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,7100718433.69422
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,78765064174.5227
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,42808971179.4693
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,38166578569.319
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3152476024060.3
British Virgin Islands,VGB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,32764093460.4699
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,137157988818.159
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,33025856157.177
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8185162007.94273
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3529315788.69025
Cambodia,KHM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,58903418891.7993
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,84600836788.8821
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1625360824248.35
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3185482486.86309
Chad,TCD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29277054648.3871
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,420457028777.501
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,21411541901612.7
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,689197633665.175
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1210791124.56337
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,68360424264.2308
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,29026489374.3489
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,79596387232.7323
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,87524487979.5258
Croatia,HRV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,98975522489.1853
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,..
