Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,561.77874627093
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4131.87234065272
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3916.88157088626
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11834.7452292307
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,37231.8156714154
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3308.77282845577
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14462.1762794658
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,12654.3549989958
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,3605.74311684256
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,49896.6811009246
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,44731.0108553361
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,3880.73873089556
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,30260.3059054474
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22560.5812707477
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,1358.77902884543
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,15891.6265491446
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5022.62664330491
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,41260.9775511468
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4960.18179390332
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,788.532442415695
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,2773.54713530224
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3117.3304591216
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4808.63604287112
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6954.17430629368
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8639.36574344537
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,26939.418047044
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7469.44770298113
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,613.993127495919
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,285.727442064745
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3037.52564241437
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1269.90723818939
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1374.5158991066
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,42348.9454605979
Cayman Islands,CYM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Central African Republic,CAF,GDP per capita (current US$),NY.GDP.PCAP.CD,382.07028106683
Chad,TCD,GDP per capita (current US$),NY.GDP.PCAP.CD,651.237243761606
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13960.894209996
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8117.26746543179
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,5756.86160202051
Comoros,COM,GDP per capita (current US$),NY.GDP.PCAP.CD,775.080084631843
"Congo, Dem. Rep.",COD,GDP per capita (current US$),NY.GDP.PCAP.CD,444.410334598663
"Congo, Rep.",COG,GDP per capita (current US$),NY.GDP.PCAP.CD,1528.24472001004
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,11732.7105484757
Cote d'Ivoire,CIV,GDP per capita (current US$),NY.GDP.PCAP.CD,1535.06812143674
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,12298.5703473839
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,23541.4882484476
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,18483.7164797716
Denmark,DNK,GDP per capita (current US$),NY.GDP.PCAP.CD,53578.7565680928
Djibouti,DJI,GDP per capita (current US$),NY.GDP.PCAP.CD,1872.23462294105
